course_title,course_code,prerequisites,section,session,credits,campus,instructor,times,location,course_description,themes,year,semester,restriction,course_level,course_type
SINGLE-VARIABLE CALCULUS FOR BUSINESS AND ECONOMICS,BUS109,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Mher Martirosyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 213W Paramaz Avedissian Building,This course offers a tailored introduction to calculus for first-year business students. It includes the fundamental concepts of differentiation and integration theory for single-variable functions with a good focus on practical applications in business and economics. The study of numerical sequences and series is presented at a level that enables the solving of basic problems expressed in terms of financial economics. The course also includes a brief introduction to differential equations for further modelling real-life scenarios. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.,"This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
SINGLE-VARIABLE CALCULUS FOR BUSINESS AND ECONOMICS,BUS109,No prerequisite(s) for this course,C,15W,3,AUA Main Campus,Dmitriy Kha,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 213W Paramaz Avedissian Building,This course offers a tailored introduction to calculus for first-year business students. It includes the fundamental concepts of differentiation and integration theory for single-variable functions with a good focus on practical applications in business and economics. The study of numerical sequences and series is presented at a level that enables the solving of basic problems expressed in terms of financial economics. The course also includes a brief introduction to differential equations for further modelling real-life scenarios. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.,"This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
SINGLE-VARIABLE CALCULUS FOR BUSINESS AND ECONOMICS,BUS109,No prerequisite(s) for this course,D,15W,3,AUA Main Campus,Arik Avagyan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 308E Paramaz Avedissian Building,This course offers a tailored introduction to calculus for first-year business students. It includes the fundamental concepts of differentiation and integration theory for single-variable functions with a good focus on practical applications in business and economics. The study of numerical sequences and series is presented at a level that enables the solving of basic problems expressed in terms of financial economics. The course also includes a brief introduction to differential equations for further modelling real-life scenarios. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.,"This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
APPLIED STATISTICS,BUS110,Basic Business Statistics,0,15w,3,AUA Main Campus,Levon Oganesyan,"TUE 3:00pm-4:15pm, THU 3:00pm-4:15pm",Classroom 213W Paramaz Avedissian Building,"This course introduces the necessary core quantitative methods that will be needed in future offerings as part of the BA in Business program. Statistical software and the use of spreadsheets are integrated throughout so that students better comprehend the importance of using modern technological tools for effective model building and decision making. The course will make use of a data oriented approach in exposing students to basic statistical methods, their conceptual underpinning, such as variability and uncertainty, and their use in the real world. Topics include data collection, descriptive statistics, elementary probability rules and distributions, sampling distributions, and basic inference. Three hours of instructor-led class time per week.Not available to CS, ES, DS students as a general education course.","This course belongs to themes 7, 8, 9.",202425,1,"Not available to CS, ES, DS students as a general education course",Lower level,Business Program's core or track elective course
INTRODUCTION TO MANAGERIAL ACCOUNTING,BUS146,BUS145,A,15W,3,AUA Main Campus,Eliza Tigranyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 114W Paramaz Avedissian Building,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting. Students will develop the necessary skills to 1) analyze routine business transactions and accounting information, 2) measure assets, liabilities, equities, and income, and 3) understand, analyze, and develop financial statements and other forms of financial reporting and communication.. Weekly home tasks will require students to complete weekly reading assignments and apply accounting procedures and principles in order to analyze routine business transactions and accounting information. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
INTRODUCTION TO MANAGERIAL ACCOUNTING,BUS146,BUS145,B,15W,3,AUA Main Campus,Eliza Tigranyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 214W Paramaz Avedissian Building,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting. Students will develop the necessary skills to 1) analyze routine business transactions and accounting information, 2) measure assets, liabilities, equities, and income, and 3) understand, analyze, and develop financial statements and other forms of financial reporting and communication.. Weekly home tasks will require students to complete weekly reading assignments and apply accounting procedures and principles in order to analyze routine business transactions and accounting information. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
INTRODUCTION TO MANAGERIAL ACCOUNTING,BUS146,BUS145,C,15W,3,AUA Main Campus,Lena Seissian,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 214W Paramaz Avedissian Building,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting. Students will develop the necessary skills to 1) analyze routine business transactions and accounting information, 2) measure assets, liabilities, equities, and income, and 3) understand, analyze, and develop financial statements and other forms of financial reporting and communication.. Weekly home tasks will require students to complete weekly reading assignments and apply accounting procedures and principles in order to analyze routine business transactions and accounting information. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
INTRODUCTION TO MANAGERIAL ACCOUNTING,BUS146,BUS145,D,15W,3,AUA Main Campus,Marianna Movsesyan,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 208E Paramaz Avedissian Building,"This course introduces students to the terminology, procedures and principles of financial accounting and reporting. Students will develop the necessary skills to 1) analyze routine business transactions and accounting information, 2) measure assets, liabilities, equities, and income, and 3) understand, analyze, and develop financial statements and other forms of financial reporting and communication.. Weekly home tasks will require students to complete weekly reading assignments and apply accounting procedures and principles in order to analyze routine business transactions and accounting information. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
BUSINESS COMMUNICATIONS,BUS177,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Kristine Sargsyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 206E Paramaz Avedissian Building,"This course provides an intensive introduction to the communication process, the concepts and principles of internal and external business communications, as well as develops an understanding of public relations in a business context. The course also teaches persuasive writing, public speaking, and collaborative skills necessary for future business courses, internships, and professional positions. The course involves lectures, presentations, research, group projects, discussions with active participation and case studies. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
BUSINESS COMMUNICATIONS,BUS177,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Kristine Sargsyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 206E Paramaz Avedissian Building,"This course provides an intensive introduction to the communication process, the concepts and principles of internal and external business communications, as well as develops an understanding of public relations in a business context. The course also teaches persuasive writing, public speaking, and collaborative skills necessary for future business courses, internships, and professional positions. The course involves lectures, presentations, research, group projects, discussions with active participation and case studies. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
BUSINESS COMMUNICATIONS,BUS177,No prerequisite(s) for this course,C,15W,3,AUA Main Campus,Sergey Tantushyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 206E Paramaz Avedissian Building,"This course provides an intensive introduction to the communication process, the concepts and principles of internal and external business communications, as well as develops an understanding of public relations in a business context. The course also teaches persuasive writing, public speaking, and collaborative skills necessary for future business courses, internships, and professional positions. The course involves lectures, presentations, research, group projects, discussions with active participation and case studies. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
BUSINESS COMMUNICATIONS,BUS177,No prerequisite(s) for this course,D,15W,3,AUA Main Campus,Sergey Tantushyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 206E Paramaz Avedissian Building,"This course provides an intensive introduction to the communication process, the concepts and principles of internal and external business communications, as well as develops an understanding of public relations in a business context. The course also teaches persuasive writing, public speaking, and collaborative skills necessary for future business courses, internships, and professional positions. The course involves lectures, presentations, research, group projects, discussions with active participation and case studies. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
BUSINESS COMMUNICATIONS,BUS177,No prerequisite(s) for this course,E,15W,3,AUA Main Campus,Arusyak Martirosyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 206E Paramaz Avedissian Building,"This course provides an intensive introduction to the communication process, the concepts and principles of internal and external business communications, as well as develops an understanding of public relations in a business context. The course also teaches persuasive writing, public speaking, and collaborative skills necessary for future business courses, internships, and professional positions. The course involves lectures, presentations, research, group projects, discussions with active participation and case studies. Three hours of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Business Program's core or track elective course
HUMAN RESOURCES MANAGEMENT,BUS207,BUS105,0,15w,3,AUA Main Campus,Syuzanna Martirosyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 215E Paramaz Avedissian Building,"This course provides an overview of contemporary issues in HRM exploring HR managers’ role in overseeing employee career development cycle from entry to exit. Topics include but are not limited to recruitment, selection and induction, training and development, compensation and benefits, performance management and appraisal systems. Class format includes lectures followed by peer discussions progressing to student presentations and final projects. Instructor-led discussion, home assignments and case study analysis.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
LINEAR ALGEBRA AND MULTI-VARIABLE CALCULUS FOR BUSINESS AND ECONOMICS,BUS209,EQCALC1,0,15w,3,AUA Main Campus,Levon Haroyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 213W Paramaz Avedissian Building,"The course covers many essential topics from a wide range of mathematical disciplines such as multivariable calculus, linear algebra, graph theory, probability and statistics. It particularly includes unconstrained and constrained optimization, double and iterated integrals, vector spaces and matrix algebra, further insight into random variables, etc. The topics are equipped with examples of applications related to business and economics. The examples include but are not limited to applications such as maximization of utility, allocation of resources, linear economic models, and Markov chains. At the same time, where possible, the course aims to show what constitutes a strict mathematical proof using the language of abstract mathematics. This course is an important part of the mathematical education for students. The main prerequisite is the knowledge of the single-variable calculus. Familiarity with economics terms and foundations of statistics/probability is highly desirable. Students are required to complete weekly reading assignments and solve in-class and homework problem sets.","This course belongs to themes 7, 8, 9.",202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTRODUCTION TO INTERNATIONAL BUSINESS MANAGEMENT,BUS210,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Vahe Odabashian,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 208E Paramaz Avedissian Building,"This course examines the management of international corporations in today’s global political and economic environment. Topics include management challenges faced by multinational corporations, the economics of trade, money and investment in the world economy, policies and behavior of governments and international organizations, and current issues regarding emerging economies and shifts in the political economy of global markets. Home tasks will include reading assignments, research, and case study analysis. Three hour of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
"MONEY, BANKING AND FINANCIAL INSTITUTIONS",BUS226,"BUS145,BUS146,BUS230,ECON121,ECON122",0,15w,3,AUA Main Campus,Isabella Adilkhanyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 407E Paramaz Avedissian Building,"This course examines modern theory of corporate finance and financial institutions. Topics covered include, monetary policy, financial markets, financial intermediation and the role of banks and other financial institutions, regulation of financial markets, incomplete financial contracting, financial intermediation, initial public offerings, market for corporate control and security design. Students will work collaboratively in groups to analyze financial institutions and apply relevant theories and frameworks to real-world business problems. Students will present their findings to their peers and business professionals. Home tasks will include reading, research, and case study analysis. Three hour of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTRODUCTION TO FINANCE,BUS230,"BUS110,BUS145,EQCALC1",A,15W,3,AUA Main Campus,Edgar Begrakyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 113W Paramaz Avedissian Building,"The course introduces students to the principles of finance and their application to financial decision making in a variety of business enterprises. The course will examine the following topics: introduction on financial markets and institutions; time value of money; financial instruments and their valuation: financial analysis and the problems of financial forecasting; capital budgeting, cost of capital, introduction to risk and return; comparing financial objectives of manager and investor; and long term financing. Home tasks may include completion of reading assignments, problem sets and case study analysis.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTRODUCTION TO FINANCE,BUS230,"BUS110,BUS145,EQCALC1",B,15W,3,AUA Main Campus,Edgar Begrakyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 113W Paramaz Avedissian Building,"The course introduces students to the principles of finance and their application to financial decision making in a variety of business enterprises. The course will examine the following topics: introduction on financial markets and institutions; time value of money; financial instruments and their valuation: financial analysis and the problems of financial forecasting; capital budgeting, cost of capital, introduction to risk and return; comparing financial objectives of manager and investor; and long term financing. Home tasks may include completion of reading assignments, problem sets and case study analysis.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTRODUCTION TO FINANCE,BUS230,"BUS110,BUS145,EQCALC1",C,15W,3,AUA Main Campus,Narek Ohanyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 208E Paramaz Avedissian Building,"The course introduces students to the principles of finance and their application to financial decision making in a variety of business enterprises. The course will examine the following topics: introduction on financial markets and institutions; time value of money; financial instruments and their valuation: financial analysis and the problems of financial forecasting; capital budgeting, cost of capital, introduction to risk and return; comparing financial objectives of manager and investor; and long term financing. Home tasks may include completion of reading assignments, problem sets and case study analysis.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTRODUCTION TO FINANCE,BUS230,"BUS110,BUS145,EQCALC1",D,15W,3,AUA Main Campus,Lena Seissian,"TUE 1:30pm-2:45pm, THU 1:30pm-2:45pm",Classroom 214W Paramaz Avedissian Building,"The course introduces students to the principles of finance and their application to financial decision making in a variety of business enterprises. The course will examine the following topics: introduction on financial markets and institutions; time value of money; financial instruments and their valuation: financial analysis and the problems of financial forecasting; capital budgeting, cost of capital, introduction to risk and return; comparing financial objectives of manager and investor; and long term financing. Home tasks may include completion of reading assignments, problem sets and case study analysis.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
SPECIAL TOPICS IN FINANCE,BUS239,BUS230,0,15w,3,AUA Main Campus,Petros Margaryan,"MON 1:30pm-2:20pm, WED 1:30pm-2:20pm, FRI 1:30pm-2:20pm",Classroom 207E Paramaz Avedissian Building,This course explores topics in finance with emphasis on current problems and research. Topics to be announced prior to course registration. The course will enable students to develop skills/understanding of advanced topics on an individual basis. Students will develop deeper understanding of a specific finance topic related to the student's academic interest.,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTERMEDIATE MANAGERIAL ACCOUNTING,BUS247,BUS146,0,15W,3,AUA Main Campus,Lena Seissian,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 306E Paramaz Avedissian Building,"Building upon topics covered in BUS 146 Introduction to Managerial Accounting, this course explores alternative methods of accounting information for managerial decision making. Students will analyze the complex relationships between accounting techniques and other organizational activities including strategy, employee motivation, and the use of accounting information to develop solutions for managerial challenges. Home tasks will include completion of reading assignments, problem sets and case study analysis. Three hours of instructor-led class time per week time.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
BRAND MANAGEMENT,BUS263,BUS160,0,15W,3,AUA Main Campus,Olga Roshchupkina,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 306E Paramaz Avedissian Building,"This course examines the importance of building a brand as well as the ingredients for solid brand management. Topics include understanding brands, designing brand, and measuring brand usage. Students will work individually and in groups to analyze case studies and present findings. Home tasks include research and case study analysis. Three hour of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
INTERNATIONAL MARKETING,BUS265,BUS160,A,15W,3,AUA Main Campus,Liana Tadevosyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 206E Paramaz Avedissian Building,"This course examines the economic, cultural, social, political, legal, and strategic influences on international marketing. Topics include product pricing, distribution, strategies and policies, market selection, and market research. Home tasks include reading, research, and case study analysis. Three hour of instructor-led class time per week.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Business Program's core or track elective course
